,Continent,Country,Location,Coordinates,Operational date,Number of rocket launches,Heaviest rocket launched,Highest achieved altitude,Notes,html_link
0,South America, Argentina,Tartagal,-22.76158; -63.82381,1966–1966, , , ,During a solar eclipse,"<a href=""https://en.wikipedia.org/wiki/Solar_eclipse"">Solar_eclipse text</a>"
0,South America, Argentina,Mar Chiquita,-37.72427; -57.40512,1968–1972,11  , , ,no notes found,
0,South America, Argentina,Villa Reynolds,-33.72460; -65.37730,1973–1973,2  , , ,no notes found,
0,South America, Argentina,Serrezuela,-30.6333; -65.3833,2009,1  ,500 kg  ,40 km  ,no notes found,
0,South America, Argentina,Punta Indio,-35.523889; -57.183889,2011–,3  ,"7,076 kg  [85]",2.2 km  ,Civilian Launch Test Site (CONAE),"<a href=""https://en.wikipedia.org/wiki/CONAE"">CONAE text</a>"
0,South America, Argentina,Puerto Belgrano,-38.9628; -61.715,2014–,,,,Launch pad for Tronador II under construction (CONAE),"<a href=""https://en.wikipedia.org/wiki/Tronador_II"">Tronador_II text</a>"
0,South America, Brazil,Natal-Barreira do Inferno,-5.86600; -35.38300,1965–,233  ,"7,270 kg  ",1100 km  ,no notes found,
0,South America, Brazil,Praia do Cassino,-32.08338; -52.16725,1966–1966,27  , , ,no notes found,
0,South America, Brazil,"Alcântara Launch Center, Maranhão",-2.3160; -44.3676,1990–,47  ,"6,737 kg  ",956 km  ,"Brazilian Air Force, Brazilian Space Agency. Planned satellite launches.","<a href=""https://en.wikipedia.org/wiki/Brazilian_Air_Force"">Brazilian_Air_Force text</a>"
0,South America, French Guiana,"Guiana Space Centre, Kourou",5.23739; -52.76950,1968–,<200  ,"777,000 kg  ",Interplanetary  ,Operated by CNES for ESA; launch base for Arianespace. Commercial and governmental launches.,"<a href=""https://en.wikipedia.org/wiki/CNES"">CNES text</a>"
0,South America, Peru,Chilca Launch Range,-12.50477; -76.79849,1974-1983,<65  , ,590 km  ,Sounding rocket launch location.[86],
0,South America, Peru,"Chilca PLOB, Punta Lobos Range",-12.50000; -76.8000,1983,32  ,"2,000 kg  ",590 km  ,"Sounding rocket launch location. Possibly part of, or identical to, Chilca Launch Range.
[87][88]",
0,South America, Dutch Suriname,Coronie,5.87241; -56.28908,1965–1965,4  , ,205 km  ,no notes found,
0,Oceana, Australia,"Woomera Test Range, SA",-30.95875; 136.50366,1950s–, ,"28,000 kg  ",Orbital  ,no notes found,
